killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
Kar98k,x-WU008,1,62458.4,562747.3,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1267,IDontWantBanana,16,47885.9,549811.8
Down and Out,Faker-SKT1,1,62798.75,562590.4,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1267,daiFish,16,48085.05,549604.2
M416,Wawabot,7,246668.6,433589.6,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1133,DawnStrider371,16,246068.5,434938.3
Down and Out,wonenggou,7,246647.4,433593.6,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1133,NightStrider371,16,247888.2,434343.9
Down and Out,MCB88,8,257100,387858.8,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1106,Xin_Tiao__1124,17,250142.7,394886.2
UMP9,MCB88,8,250302.5,393427.1,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,1106,lailaidalao,17,250166.3,394214.4
Mini 14,issakura,18,364240.2,410230.6,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,476,JunoAwardWinner,17,362667.5,409221.9
S12K,issakura,18,366376.8,410937.8,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,579,likethissounds,17,366219.2,410790.9
SCAR-L,xzz0727ljj,6,455518.9,629943.7,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,576,ohdadada,17,454485.3,626251.2
M416,xzz0727ljj,6,457269.3,624609.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,642,PlutoIndustry,17,456150.7,623503
Down and Out,xzz0727ljj,6,458038.7,626990,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,596,zxc20836,17,457398.6,624834.9
S12K,Chensir1014,6,457722.8,626967.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,541,PhyrexianNegator,17,457704.9,627040.9
Falling,CHina_LongShao,18,288725.6,588933.1,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1184,Lengc,18,288718.3,588348.8
M16A4,likethissounds,17,365157.9,408845.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,522,Berniceckyo,18,365180.8,411073.8
S1897,tractiv,17,365818.3,411178.3,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,587,issakura,18,365906.5,411101.9
S1897,Irish-Cowboy,24,371786.8,413222.9,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,199,FTWSND,18,371992.8,413269.6
S1897,Irish-Cowboy,24,372624.4,412861.8,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,213,Justinering,18,372554.8,412973.4
Drown,IDontWantBanana,16,49177.79,549851.1,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1182,Riaze,19,47952.01,550202.4
UMP9,IDontWantBanana,16,49177.79,549851.1,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,1183,Riazl,19,49749.27,552609.8
M16A4,WoehrAE,15,554933,239025.5,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,469,adog_gaming,19,555618.2,235333.2
M16A4,WoehrAE,15,557455.4,242410.8,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,428,Eurowned,19,556395.8,242127.9
UMP9,FLOWINSTINCT,15,553410.8,237226.7,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,430,GouchTaintChode,19,556603.1,238974.3
M16A4,WoehrAE,15,558314.3,242258.4,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,361,THEHVACGURU,19,558517.4,242647
Uaz,djoll,6,303185.4,500877.3,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,936,akshjdbh,20,304176.6,491924.4
Uaz,djoll,6,303185.4,500877.3,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,936,tsy110611,20,304253.6,491990.2
UMP9,MCB88,8,290485.6,345376.2,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,895,FGOHH,21,291058,345238.6
Hit by Car,TriscuitDaBisket,5,291087.3,376491.1,ERANGEL,2U4GBNA0Ymnu2puyqf_NtQlNu-P-GhW9oVdBiQ14E36G-AiBhSA2Xn0jiFh8E__R,875,XiaoZhezhi,21,291076.8,375985.2
SCAR-L,daheng----1993,1,387984.5,436526.9,ERANGEL,2U4GBNA0YmnPbefQNZwA5BwIZZGr1rbZ9ME75ZSoLLy_5k7XslGLplmzebtdZiO8,918,MG446064144,21,387488.3,441266.8
Micro UZI,SYLVIAMEMEDA,22,396478.2,293568.3,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,251,dexslab,21,397968.2,294480.7
Micro UZI,ShiNiDaYiFu,22,398798.6,301446.1,ERANGEL,2U4GBNA0YmkfVhVAA391nmjCo1oVv6YBCuBwVOHAEegu1uvOZFOJoeLFQFAbYn5P,250,TheKase,21,398086.5,294290.8
